subject,cond,note1,note2,resp,rt,niveau
emma,1,9,3,-1,4101,6
emma,1,0,7,1,7841,6
emma,1,3,10,1,1661,6
emma,1,4,11,-1,2761,6
emma,1,9,2,1,951,6
emma,1,10,5,1,841,6
emma,1,2,8,1,691,6
emma,1,10,5,1,1371,6
emma,1,7,1,-1,1622,6
emma,1,6,11,1,1161,6
emma,1,2,9,-1,2831,6
emma,1,1,7,-1,2280,6
emma,1,6,0,1,5331,6
emma,1,9,2,-1,7021,6
emma,1,8,3,1,841,6
emma,1,5,10,1,1091,6
emma,1,1,8,-1,801,6
emma,1,5,11,1,460,6
emma,1,7,2,1,2430,6
emma,1,10,3,1,580,6
emma,1,2,7,1,330,6
emma,1,2,9,1,270,6
emma,1,1,6,-1,601,6
emma,1,0,6,1,1161,6
emma,1,3,8,1,630,6
emma,1,4,11,1,440,6
emma,1,8,2,1,1440,6
emma,1,4,9,-1,750,6
emma,1,10,5,1,511,6
emma,1,7,2,-1,830,6
emma,1,1,8,-1,341,6
emma,1,1,7,-1,290,6
emma,1,10,5,1,521,6
emma,1,3,10,1,250,6
emma,1,6,0,1,180,6
emma,1,11,10,-1,1301,6
emma,1,7,0,1,510,6
emma,1,6,11,1,361,6
emma,1,8,1,1,471,6
emma,1,11,6,1,251,6
emma,1,10,5,1,391,6
emma,1,2,9,1,550,6
emma,1,4,11,-1,650,6
emma,1,0,5,1,230,6
emma,1,7,0,1,191,6
emma,1,4,1,-1,664,6
emma,1,0,5,1,681,6
emma,1,3,9,1,450,6
emma,1,6,1,-1,581,6
emma,1,9,4,1,301,6
emma,1,11,4,1,531,6
emma,1,8,9,-1,770,6
emma,1,2,9,1,650,6
emma,1,0,10,-1,580,6
emma,1,10,3,1,411,6
emma,1,6,1,1,1551,6
emma,1,1,6,1,1880,6
emma,1,11,5,1,1491,6
emma,1,7,1,-1,1470,6
emma,1,6,0,-1,941,6
emma,1,3,9,1,881,6
emma,1,7,0,-1,890,6
emma,1,11,6,1,501,6
emma,1,11,6,1,871,6
emma,1,11,6,1,491,6
emma,1,1,10,-1,790,6
emma,1,4,9,-1,511,6
emma,1,1,6,1,680,6
emma,1,0,7,1,380,6
emma,1,10,9,-1,480,6
emma,1,11,4,1,330,6
emma,1,7,1,-1,311,6
emma,1,3,10,1,220,6
emma,1,8,2,-1,250,6
emma,1,3,9,1,140,6
emma,1,3,8,1,270,6
emma,1,11,4,1,450,6
emma,1,0,6,1,230,6
emma,1,9,4,-1,381,6
emma,1,6,1,-1,300,6
emma,1,8,1,-1,200,6
emma,1,5,10,-1,200,6
emma,1,7,1,-1,491,6
emma,1,0,7,1,421,6
emma,1,5,11,-1,450,6
emma,1,8,2,-1,591,6
emma,1,9,4,-1,1011,6
emma,1,1,3,-1,401,6
emma,1,9,4,-1,411,6
emma,1,3,10,1,381,6
emma,1,3,10,1,311,6
emma,1,9,3,-1,231,6
emma,1,8,6,1,820,6
emma,1,9,4,-1,490,6
emma,1,10,5,-1,381,6
emma,1,2,8,1,600,6
emma,1,8,3,-1,481,6
emma,1,2,9,1,361,6
emma,1,2,7,-1,431,6
emma,1,3,9,1,381,6
emma,1,4,9,1,321,6
emma,1,9,4,-1,430,6
emma,1,4,10,1,241,6
emma,1,8,2,1,451,6
emma,1,6,11,1,570,6
emma,1,4,10,1,290,6
emma,1,8,1,1,310,6
emma,1,1,6,1,330,6
emma,1,6,11,1,240,6
emma,1,8,11,-1,610,6
emma,1,4,11,1,280,6
emma,1,11,4,-1,500,6
emma,1,1,7,1,301,6
emma,1,3,9,1,210,6
emma,1,5,10,1,360,6
emma,1,0,7,-1,460,6
emma,1,9,2,1,210,6
emma,1,4,10,-1,460,6
emma,1,8,3,1,300,6
emma,1,0,7,1,240,6
emma,1,8,3,-1,360,6
emma,1,11,4,1,230,6
emma,1,9,2,1,390,6
emma,1,4,9,1,410,6
emma,1,11,5,-1,350,6
emma,1,10,4,-1,470,6
emma,1,11,6,1,261,6
emma,1,8,7,-1,300,6
emma,1,5,10,1,341,6
emma,1,3,8,1,680,6
emma,1,1,8,-1,1090,6
emma,1,8,1,1,830,6
emma,1,6,11,1,591,6
emma,1,6,11,1,311,6
emma,1,5,11,1,540,6
emma,1,7,0,1,720,6
emma,1,2,7,1,701,6
emma,1,0,5,1,530,6
emma,1,9,2,-1,580,6
emma,1,3,10,1,621,6
emma,1,9,0,-1,641,6
emma,1,6,1,1,510,6
emma,1,6,2,1,300,6
emma,1,9,3,1,210,6
emma,1,2,7,-1,321,6
emma,1,9,3,-1,410,6
emma,1,10,4,-1,250,6
emma,1,4,10,1,321,6
emma,1,10,3,1,341,6
emma,1,11,7,-1,520,6
emma,1,11,4,1,251,6
emma,1,4,9,1,290,6
emma,1,7,0,1,250,6
emma,1,0,5,1,340,6
emma,1,10,3,-1,291,6
emma,1,2,8,1,390,6
emma,1,5,0,1,350,6
emma,1,6,11,-1,440,6
emma,1,1,2,-1,311,6
emma,1,11,6,1,281,6
emma,1,11,5,-1,491,6
emma,1,8,1,1,681,6
emma,1,4,11,-1,641,6
emma,1,5,10,-1,471,6
emma,1,6,1,-1,440,6
emma,1,9,2,1,381,6
emma,1,6,10,-1,590,6
emma,1,3,8,-1,431,6
emma,1,0,5,-1,321,6
emma,1,5,0,1,240,6
emma,1,2,9,-1,4442,6
emma,1,7,0,-1,720,6
emma,1,2,8,-1,430,6
emma,1,4,2,-1,371,6
emma,1,4,9,1,501,6
emma,1,11,6,-1,430,6
emma,1,10,5,-1,380,6
emma,1,5,0,1,651,6
emma,1,6,0,1,411,6
emma,1,1,6,-1,381,6
emma,1,6,0,-1,460,6
emma,1,8,3,-1,560,6
emma,1,1,8,1,480,6
emma,1,11,5,-1,751,6
emma,1,7,0,-1,520,6
emma,1,5,10,1,530,6
emma,1,2,7,1,770,6
emma,1,4,9,1,450,6
emma,1,8,1,-1,601,6
emma,1,1,6,1,551,6
emma,1,5,0,-1,600,6
emma,1,10,3,1,380,6
emma,1,5,11,-1,350,6
emma,1,8,5,1,541,6
