subject,cond,note1,note2,resp,rt,niveau
lea,1,8,3,-1,1451,0
lea,1,8,1,1,397,0
lea,1,7,0,-1,1147,0
lea,1,0,7,1,425,0
lea,1,1,6,-1,569,0
lea,1,9,2,-1,964,0
lea,1,0,5,1,285,0
lea,1,5,11,-1,365,0
lea,1,1,6,1,223,0
lea,1,1,6,1,142,0
lea,1,7,0,-1,162,0
lea,1,2,7,1,314,0
lea,1,10,5,-1,316,0
lea,1,8,1,-1,355,0
lea,1,7,0,-1,283,0
lea,1,8,2,-1,285,0
lea,1,10,6,1,304,0
lea,1,7,1,-1,304,0
lea,1,2,8,1,92,0
lea,1,3,8,1,102,0
lea,1,5,10,1,274,0
lea,1,10,4,-1,596,0
lea,1,11,5,-1,204,0
lea,1,10,3,-1,223,0
lea,1,4,11,1,143,0
lea,1,11,4,-1,101,0
lea,1,3,10,1,81,0
lea,1,0,6,-1,21,0
lea,1,2,8,1,376,0
lea,1,2,8,1,203,0
lea,1,8,3,-1,102,0
lea,1,9,4,-1,71,0
lea,1,8,2,-1,132,0
lea,1,11,6,-1,1390,0
lea,1,11,4,-1,334,0
lea,1,1,8,1,202,0
lea,1,10,2,-1,313,0
lea,1,5,0,1,243,0
lea,1,4,10,1,423,0
lea,1,10,3,-1,111,0
lea,1,1,7,1,545,0
lea,1,5,11,-1,132,0
lea,1,10,3,-1,132,0
lea,1,4,9,1,313,0
lea,1,6,11,1,386,0
lea,1,11,5,-1,242,0
lea,1,3,10,1,91,0
lea,1,6,1,1,132,0
lea,1,10,4,-1,21,0
lea,1,9,3,-1,21,0
lea,1,11,6,-1,41,0
lea,1,11,10,1,182,0
lea,1,1,8,-1,445,0
lea,1,10,5,-1,132,0
lea,1,11,5,-1,101,0
lea,1,11,4,-1,252,0
lea,1,10,3,-1,81,0
lea,1,3,10,1,122,0
lea,1,5,10,1,71,0
lea,1,11,6,-1,273,0
lea,1,1,7,-1,353,0
lea,1,8,1,1,71,0
lea,1,7,0,-1,313,0
lea,1,6,1,1,203,0
lea,1,1,8,-1,81,0
lea,1,9,4,-1,485,0
lea,1,6,11,1,41,0
lea,1,2,7,-1,152,0
lea,1,7,2,1,121,0
lea,1,6,0,-1,303,0
lea,1,0,6,-1,373,0
lea,1,9,2,1,132,0
lea,1,0,7,-1,91,0
lea,1,9,4,1,61,0
lea,1,3,8,-1,21,0
lea,1,11,4,1,162,0
lea,1,9,2,-1,625,0
lea,1,5,11,-1,283,0
lea,1,10,4,1,111,0
lea,1,5,1,-1,181,0
lea,1,5,11,-1,706,0
lea,1,0,11,-1,534,0
lea,1,4,9,-1,243,0
lea,1,4,10,-1,162,0
lea,1,4,9,-1,101,0
lea,1,2,11,-1,598,0
lea,1,3,10,-1,213,0
lea,1,11,6,1,112,0
lea,1,2,8,-1,153,0
lea,1,7,1,-1,142,0
lea,1,1,6,1,852,0
lea,1,9,2,-1,326,0
lea,1,4,9,1,448,0
lea,1,10,5,-1,143,0
lea,1,5,10,1,103,0
lea,1,6,1,-1,770,0
lea,1,11,5,-1,671,0
lea,1,5,0,1,41,0
lea,1,6,11,-1,313,0
lea,1,0,5,1,21,0
lea,1,0,6,1,217,0
lea,1,5,6,-1,549,0
lea,1,5,0,1,295,0
lea,1,2,9,-1,213,0
lea,1,2,9,-1,21,0
lea,1,7,0,1,102,0
lea,1,11,6,-1,102,0
lea,1,7,1,1,294,0
lea,1,3,8,-1,395,0
lea,1,9,2,-1,446,0
lea,1,8,3,-1,273,0
lea,1,7,2,1,546,0
lea,1,5,10,-1,344,0
lea,1,5,10,-1,224,0
lea,1,0,5,1,132,0
lea,1,4,11,-1,143,0
lea,1,7,0,1,223,0
lea,1,6,1,-1,264,0
lea,1,5,0,-1,92,0
lea,1,6,11,1,163,0
lea,1,3,8,1,882,0
lea,1,10,4,-1,214,0
lea,1,8,1,1,334,0
lea,1,5,0,1,163,0
lea,1,0,7,-1,163,0
lea,1,5,0,1,527,0
lea,1,4,9,-1,498,0
lea,1,9,3,1,304,0
lea,1,10,3,-1,559,0
lea,1,3,8,1,275,0
lea,1,4,10,1,143,0
lea,1,10,5,-1,254,0
lea,1,4,11,1,426,0
lea,1,3,9,-1,213,0
lea,1,3,8,-1,406,0
lea,1,7,2,-1,375,0
lea,1,11,7,1,700,0
lea,1,9,2,1,518,0
lea,1,10,5,-1,496,0
lea,1,8,3,1,273,0
lea,1,1,4,-1,953,0
lea,1,3,9,-1,477,0
lea,1,2,7,-1,667,0
lea,1,8,3,1,426,0
lea,1,3,9,-1,143,0
