subject,cond,note1,note2,resp,rt,niveau
charlelie,1,5,10,1,4651,10
charlelie,1,1,8,-1,1801,10
charlelie,1,0,6,-1,4131,10
charlelie,1,5,10,1,2731,10
charlelie,1,7,2,1,4282,10
charlelie,1,0,5,-1,431,10
charlelie,1,11,6,-1,970,10
charlelie,1,6,11,1,850,10
charlelie,1,0,6,-1,531,10
charlelie,1,6,11,1,531,10
charlelie,1,2,7,-1,2321,10
charlelie,1,7,0,1,1001,10
charlelie,1,3,8,-1,2441,10
charlelie,1,8,1,1,3720,10
charlelie,1,10,4,-1,581,10
charlelie,1,2,8,-1,641,10
charlelie,1,6,1,1,590,10
charlelie,1,2,7,-1,1031,10
charlelie,1,1,9,1,1571,10
charlelie,1,5,2,-1,1180,10
charlelie,1,10,3,1,591,10
charlelie,1,0,5,-1,481,10
charlelie,1,2,8,-1,1640,10
charlelie,1,6,11,-1,1041,10
charlelie,1,11,5,-1,2591,10
charlelie,1,7,0,1,2462,10
charlelie,1,2,7,-1,1211,10
charlelie,1,3,2,-1,4580,10
charlelie,1,10,3,1,2460,10
charlelie,1,7,1,1,2451,10
charlelie,1,9,4,1,2731,10
charlelie,1,6,11,1,3411,10
charlelie,1,3,10,-1,1641,10
charlelie,1,11,4,1,6132,10
charlelie,1,4,9,-1,360,10
charlelie,1,9,3,1,2411,10
charlelie,1,3,8,-1,1890,10
charlelie,1,11,6,-1,1331,10
charlelie,1,4,9,1,3002,10
charlelie,1,6,1,1,1951,10
charlelie,1,4,11,-1,510,10
charlelie,1,4,0,1,610,10
charlelie,1,8,1,1,1291,10
charlelie,1,0,5,-1,711,10
charlelie,1,11,6,-1,1260,10
charlelie,1,11,6,-1,300,10
charlelie,1,5,10,1,1010,10
charlelie,1,8,3,1,2161,10
charlelie,1,1,8,1,2240,10
charlelie,1,2,7,-1,1960,10
charlelie,1,11,5,-1,850,10
charlelie,1,10,3,-1,1021,10
charlelie,1,4,9,1,1701,10
charlelie,1,8,0,1,3080,10
charlelie,1,7,2,1,1181,10
charlelie,1,4,9,1,1272,10
charlelie,1,10,5,-1,1651,10
charlelie,1,6,0,1,920,10
charlelie,1,3,10,1,4501,10
charlelie,1,7,0,1,7741,10
charlelie,1,4,10,1,2210,10
charlelie,1,3,8,-1,2690,10
charlelie,1,10,5,-1,2070,10
charlelie,1,7,1,1,840,10
charlelie,1,1,7,-1,1311,10
charlelie,1,10,3,1,1040,10
charlelie,1,4,11,-1,2091,10
charlelie,1,2,8,-1,4771,10
charlelie,1,0,5,-1,6796,10
charlelie,1,1,7,-1,780,10
charlelie,1,7,2,1,421,10
charlelie,1,5,11,1,3501,10
charlelie,1,7,2,1,971,10
charlelie,1,2,6,-1,270,10
charlelie,1,2,7,-1,170,10
charlelie,1,9,11,1,2150,10
charlelie,1,0,7,-1,520,10
charlelie,1,11,4,-1,431,10
charlelie,1,6,1,1,1751,10
charlelie,1,0,6,-1,321,10
charlelie,1,4,9,-1,1620,10
charlelie,1,9,2,1,1910,10
charlelie,1,3,8,1,2131,10
charlelie,1,0,7,-1,1777,10
charlelie,1,1,6,-1,350,10
charlelie,1,8,1,1,2881,10
charlelie,1,7,0,-1,751,10
charlelie,1,1,6,-1,1310,10
charlelie,1,9,2,1,2471,10
charlelie,1,10,5,-1,771,10
charlelie,1,8,2,1,3411,10
charlelie,1,11,6,-1,5062,10
charlelie,1,5,10,1,4201,10
charlelie,1,1,6,-1,200,10
charlelie,1,6,0,1,1181,10
charlelie,1,4,11,1,1571,10
charlelie,1,3,9,-1,1101,10
charlelie,1,11,4,-1,820,10
charlelie,1,8,2,-1,1280,10
charlelie,1,4,5,1,3991,10
charlelie,1,10,5,-1,921,10
charlelie,1,6,1,1,1590,10
charlelie,1,11,5,1,5401,10
charlelie,1,4,10,-1,701,10
charlelie,1,9,2,-1,1551,10
charlelie,1,4,11,1,1130,10
charlelie,1,0,5,-1,420,10
charlelie,1,4,10,1,201,10
charlelie,1,11,4,-1,2080,10
charlelie,1,1,4,-1,1000,10
charlelie,1,3,8,1,361,10
charlelie,1,6,1,1,1911,10
charlelie,1,2,8,-1,431,10
charlelie,1,10,9,-1,2960,10
charlelie,1,2,9,-1,1846,10
charlelie,1,3,8,-1,1891,10
charlelie,1,6,11,1,1421,10
charlelie,1,9,4,-1,2230,10
charlelie,1,7,0,1,4471,10
charlelie,1,1,8,-1,420,10
charlelie,1,8,3,1,1801,10
charlelie,1,7,2,1,681,10
charlelie,1,1,6,-1,1771,10
charlelie,1,11,4,-1,4748,10
charlelie,1,4,9,1,410,10
charlelie,1,2,9,-1,411,10
charlelie,1,5,0,1,261,10
charlelie,1,11,2,1,1581,10
charlelie,1,4,11,1,1830,10
charlelie,1,5,11,1,361,10
charlelie,1,9,2,1,1451,10
charlelie,1,0,6,-1,480,10
charlelie,1,10,4,-1,1372,10
charlelie,1,9,4,-1,460,10
charlelie,1,10,3,-1,620,10
charlelie,1,7,1,-1,330,10
charlelie,1,5,10,1,591,10
charlelie,1,3,9,1,721,10
charlelie,1,10,3,-1,331,10
charlelie,1,8,3,-1,1591,10
charlelie,1,9,2,-1,401,10
charlelie,1,1,8,1,221,10
charlelie,1,8,3,-1,520,10
charlelie,1,3,10,1,361,10
charlelie,1,0,5,-1,250,10
charlelie,1,10,3,-1,1880,10
charlelie,1,7,1,-1,290,10
charlelie,1,7,0,-1,420,10
charlelie,1,10,5,-1,6884,10
charlelie,1,8,3,1,8652,10
charlelie,1,5,11,1,1680,10
charlelie,1,3,9,1,1900,10
charlelie,1,3,8,1,1440,10
charlelie,1,6,0,-1,460,10
charlelie,1,2,0,-1,4282,10
charlelie,1,8,1,1,2561,10
charlelie,1,0,5,-1,440,10
charlelie,1,7,2,-1,1810,10
charlelie,1,3,10,1,310,10
charlelie,1,1,7,-1,310,10
charlelie,1,9,4,-1,1820,10
charlelie,1,2,7,1,750,10
charlelie,1,1,10,1,820,10
charlelie,1,3,9,-1,340,10
charlelie,1,0,7,1,3071,10
charlelie,1,1,8,1,2345,10
charlelie,1,2,9,1,721,10
charlelie,1,0,6,-1,731,10
charlelie,1,3,10,1,771,10
charlelie,1,5,11,1,1240,10
charlelie,1,9,3,-1,1341,10
charlelie,1,8,3,-1,700,10
charlelie,1,3,10,1,401,10
charlelie,1,11,9,-1,1590,10
charlelie,1,11,4,-1,381,10
charlelie,1,10,7,-1,4491,10
charlelie,1,1,6,-1,7651,10
charlelie,1,0,7,-1,2830,10
charlelie,1,9,2,1,372,10
charlelie,1,0,8,-1,280,10
charlelie,1,11,5,-1,840,10
charlelie,1,9,3,1,2581,10
charlelie,1,1,7,-1,1381,10
charlelie,1,4,11,1,380,10
charlelie,1,5,0,1,891,10
charlelie,1,6,4,-1,641,10
charlelie,1,4,11,1,700,10
charlelie,1,6,1,-1,461,10
charlelie,1,1,8,1,882,10
charlelie,1,8,3,-1,410,10
