subject,cond,note1,note2,resp,rt,niveau
perline,1,5,10,1,972,0
perline,1,7,2,-1,540,0
perline,1,2,8,1,1381,0
perline,1,5,11,1,490,0
perline,1,2,7,-1,390,0
perline,1,11,5,1,421,0
perline,1,0,7,1,1811,0
perline,1,1,7,1,2171,0
perline,1,8,2,-1,460,0
perline,1,2,7,1,370,0
perline,1,11,6,-1,381,0
perline,1,3,10,1,551,0
perline,1,5,10,1,800,0
perline,1,10,3,-1,320,0
perline,1,9,4,-1,422,0
perline,1,7,1,-1,621,0
perline,1,11,4,-1,610,0
perline,1,7,0,1,427,0
perline,1,9,2,1,470,0
perline,1,3,10,-1,301,0
perline,1,3,8,1,360,0
perline,1,2,8,1,691,0
perline,1,11,5,-1,630,0
perline,1,2,1,-1,560,0
perline,1,0,5,1,491,0
perline,1,3,9,1,1610,0
perline,1,10,5,-1,881,0
perline,1,2,9,1,461,0
perline,1,0,9,-1,1761,0
perline,1,7,0,1,601,0
perline,1,0,7,-1,651,0
perline,1,3,8,1,501,0
perline,1,0,7,-1,1052,0
perline,1,10,3,1,1680,0
perline,1,10,5,1,660,0
perline,1,5,0,-1,651,0
perline,1,0,6,1,430,0
perline,1,9,4,-1,920,0
perline,1,2,8,1,430,0
perline,1,4,11,-1,810,0
perline,1,10,3,1,2230,0
perline,1,4,11,1,1777,0
perline,1,0,5,-1,2061,0
perline,1,4,9,1,501,0
perline,1,8,1,-1,1590,0
perline,1,9,10,-1,2081,0
perline,1,10,5,1,510,0
perline,1,6,1,-1,391,0
perline,1,9,3,-1,611,0
perline,1,11,6,1,330,0
perline,1,3,10,-1,791,0
perline,1,2,9,-1,381,0
perline,1,8,3,1,650,0
perline,1,5,10,-1,351,0
perline,1,6,8,-1,590,0
perline,1,0,6,1,841,0
perline,1,5,10,-1,771,0
perline,1,2,7,-1,570,0
perline,1,3,10,1,771,0
perline,1,8,3,-1,282,0
perline,1,9,2,-1,350,0
perline,1,8,1,-1,431,0
perline,1,7,2,-1,351,0
perline,1,1,0,-1,472,0
perline,1,9,4,1,520,0
perline,1,6,11,1,671,0
perline,1,1,6,1,2381,0
perline,1,6,1,1,591,0
perline,1,6,11,1,1661,0
