subject,cond,note1,note2,resp,rt,niveau
philippe,1,9,3,1,6411,1
philippe,1,11,6,-1,1181,1
philippe,1,7,1,1,4661,1
philippe,1,9,2,1,1660,1
philippe,1,10,4,1,2801,1
philippe,1,2,7,-1,1832,1
philippe,1,3,8,-1,1510,1
philippe,1,1,6,-1,4192,1
philippe,1,0,7,1,2691,1
philippe,1,5,3,1,900,1
philippe,1,5,11,1,620,1
philippe,1,4,9,1,1011,1
philippe,1,2,7,1,4172,1
philippe,1,1,6,1,1750,1
philippe,1,8,2,1,2610,1
philippe,1,5,10,-1,600,1
philippe,1,8,1,1,660,1
philippe,1,6,0,1,761,1
philippe,1,8,3,1,3271,1
philippe,1,6,0,1,1190,1
philippe,1,11,4,-1,1622,1
philippe,1,4,10,1,1141,1
philippe,1,9,4,1,2371,1
philippe,1,2,8,1,1310,1
philippe,1,9,4,-1,2271,1
philippe,1,10,6,-1,1680,1
philippe,1,8,3,1,4671,1
philippe,1,10,6,-1,1000,1
philippe,1,10,5,-1,3970,1
philippe,1,3,8,-1,2130,1
philippe,1,1,7,-1,1170,1
philippe,1,4,11,-1,2871,1
philippe,1,1,6,1,4841,1
philippe,1,2,9,-1,520,1
philippe,1,2,8,-1,1191,1
philippe,1,2,7,-1,791,1
philippe,1,4,10,-1,611,1
philippe,1,3,9,-1,740,1
philippe,1,3,8,-1,690,1
philippe,1,0,7,-1,1410,1
philippe,1,1,8,-1,1672,1
philippe,1,7,1,1,710,1
philippe,1,5,0,1,4471,1
philippe,1,4,9,-1,4311,1
philippe,1,5,11,-1,1960,1
philippe,1,9,4,1,2231,1
philippe,1,3,10,1,2020,1
philippe,1,10,5,1,2402,1
philippe,1,9,4,1,1953,1
philippe,1,4,5,-1,5369,1
philippe,1,9,2,1,681,1
philippe,1,0,7,1,2740,1
philippe,1,5,0,1,670,1
philippe,1,0,6,1,1091,1
philippe,1,0,2,1,1040,1
philippe,1,1,8,-1,1050,1
philippe,1,8,2,1,1781,1
philippe,1,2,7,1,3410,1
philippe,1,5,0,1,1960,1
philippe,1,3,10,1,1000,1
philippe,1,9,4,-1,1630,1
philippe,1,3,10,1,1791,1
philippe,1,0,6,1,1540,1
philippe,1,3,10,1,1070,1
philippe,1,2,7,1,691,1
philippe,1,9,3,1,1210,1
philippe,1,6,11,1,991,1
philippe,1,0,5,-1,1900,1
philippe,1,5,0,1,2630,1
philippe,1,7,0,1,930,1
philippe,1,4,11,1,1650,1
philippe,1,0,5,-1,1380,1
philippe,1,8,10,-1,840,1
philippe,1,10,3,1,1591,1
philippe,1,0,3,1,2640,1
philippe,1,5,10,1,2670,1
philippe,1,10,4,1,1960,1
philippe,1,2,9,-1,1321,1
philippe,1,6,0,1,2400,1
philippe,1,8,1,1,1570,1
philippe,1,0,6,-1,2401,1
philippe,1,1,8,-1,420,1
philippe,1,2,8,-1,950,1
philippe,1,3,9,-1,490,1
philippe,1,8,2,1,860,1
philippe,1,5,10,-1,581,1
philippe,1,1,8,-1,631,1
philippe,1,8,0,1,490,1
philippe,1,6,11,1,661,1
