subject,cond,note1,note2,resp,rt,niveau
tranganh,1,7,0,1,2710,15
tranganh,1,6,1,1,911,15
tranganh,1,0,3,1,951,15
tranganh,1,11,6,1,910,15
tranganh,1,6,0,-1,650,15
tranganh,1,1,8,-1,560,15
tranganh,1,0,7,-1,470,15
tranganh,1,5,0,1,581,15
tranganh,1,7,1,1,500,15
tranganh,1,0,5,1,981,15
tranganh,1,0,5,1,710,15
tranganh,1,2,8,-1,551,15
tranganh,1,2,7,-1,451,15
tranganh,1,9,3,1,1091,15
tranganh,1,7,1,-1,800,15
tranganh,1,2,10,-1,761,15
tranganh,1,2,9,-1,590,15
tranganh,1,6,11,1,600,15
tranganh,1,4,6,-1,680,15
tranganh,1,8,2,1,3071,15
tranganh,1,1,11,-1,540,15
tranganh,1,11,6,1,751,15
tranganh,1,8,10,1,1541,15
tranganh,1,5,0,1,1311,15
tranganh,1,3,10,-1,991,15
tranganh,1,11,5,1,540,15
tranganh,1,5,0,-1,2111,15
tranganh,1,5,10,-1,570,15
tranganh,1,1,7,-1,421,15
tranganh,1,3,8,1,1301,15
tranganh,1,6,1,1,1170,15
tranganh,1,11,5,1,501,15
tranganh,1,7,6,-1,740,15
tranganh,1,10,3,1,2270,15
tranganh,1,11,0,1,1471,15
tranganh,1,10,5,1,430,15
tranganh,1,8,2,-1,510,15
tranganh,1,10,3,1,910,15
tranganh,1,0,7,1,580,15
tranganh,1,3,10,1,351,15
tranganh,1,3,8,1,550,15
tranganh,1,9,2,-1,440,15
tranganh,1,11,6,1,840,15
tranganh,1,2,7,1,461,15
tranganh,1,3,10,1,460,15
tranganh,1,7,0,1,1040,15
tranganh,1,0,7,-1,1141,15
tranganh,1,2,9,1,491,15
tranganh,1,9,3,-1,440,15
tranganh,1,11,6,1,430,15
tranganh,1,11,4,1,551,15
tranganh,1,9,4,-1,1201,15
tranganh,1,11,6,1,520,15
tranganh,1,7,0,-1,4163,15
tranganh,1,4,9,1,850,15
tranganh,1,7,1,-1,990,15
tranganh,1,0,5,1,1281,15
tranganh,1,5,11,-1,670,15
tranganh,1,1,7,1,791,15
tranganh,1,9,2,-1,511,15
tranganh,1,4,11,-1,2240,15
tranganh,1,4,11,-1,410,15
tranganh,1,3,9,-1,351,15
tranganh,1,9,6,1,680,15
tranganh,1,2,9,1,671,15
tranganh,1,5,0,1,400,15
tranganh,1,9,2,1,774,15
tranganh,1,0,7,1,360,15
tranganh,1,8,3,-1,360,15
tranganh,1,9,1,-1,271,15
tranganh,1,9,2,-1,361,15
tranganh,1,11,4,1,391,15
tranganh,1,1,6,1,350,15
tranganh,1,4,10,1,391,15
tranganh,1,1,6,1,450,15
tranganh,1,5,0,-1,530,15
tranganh,1,7,5,-1,901,15
tranganh,1,5,10,1,581,15
tranganh,1,6,1,1,320,15
tranganh,1,10,5,1,250,15
tranganh,1,8,1,-1,240,15
tranganh,1,2,8,-1,290,15
tranganh,1,0,9,1,770,15
tranganh,1,3,7,1,1590,15
tranganh,1,10,3,1,670,15
tranganh,1,3,8,1,920,15
tranganh,1,4,9,1,991,15
tranganh,1,5,10,1,521,15
tranganh,1,11,6,-1,491,15
tranganh,1,11,6,-1,341,15
tranganh,1,3,8,1,290,15
tranganh,1,7,2,-1,910,15
tranganh,1,0,5,1,481,15
tranganh,1,3,8,1,331,15
tranganh,1,4,11,1,261,15
tranganh,1,2,9,1,390,15
tranganh,1,8,3,-1,300,15
tranganh,1,11,5,1,440,15
tranganh,1,1,6,1,401,15
tranganh,1,4,10,1,560,15
tranganh,1,6,11,1,331,15
tranganh,1,6,0,1,281,15
tranganh,1,5,0,1,431,15
tranganh,1,10,4,1,952,15
tranganh,1,2,8,1,521,15
tranganh,1,3,8,1,420,15
tranganh,1,1,8,1,370,15
tranganh,1,10,3,-1,300,15
tranganh,1,1,8,1,470,15
tranganh,1,8,1,-1,790,15
tranganh,1,2,8,1,301,15
tranganh,1,3,10,1,230,15
tranganh,1,2,7,1,360,15
tranganh,1,3,9,1,350,15
tranganh,1,2,7,1,341,15
tranganh,1,5,11,1,310,15
tranganh,1,3,9,1,470,15
tranganh,1,8,4,-1,331,15
tranganh,1,7,2,-1,380,15
tranganh,1,6,1,-1,251,15
tranganh,1,0,5,1,200,15
tranganh,1,10,4,1,560,15
tranganh,1,4,9,-1,331,15
tranganh,1,9,3,-1,450,15
tranganh,1,3,10,-1,1231,15
tranganh,1,2,1,-1,940,15
tranganh,1,9,2,1,390,15
tranganh,1,0,6,-1,311,15
tranganh,1,7,2,1,330,15
tranganh,1,7,1,-1,391,15
tranganh,1,2,9,1,420,15
tranganh,1,8,6,1,431,15
tranganh,1,4,11,1,500,15
tranganh,1,7,0,1,310,15
tranganh,1,0,5,-1,490,15
tranganh,1,11,4,-1,360,15
tranganh,1,10,4,-1,490,15
tranganh,1,2,5,-1,461,15
tranganh,1,8,3,1,871,15
tranganh,1,4,9,1,380,15
tranganh,1,11,4,-1,1081,15
tranganh,1,5,11,1,2390,15
tranganh,1,7,2,1,440,15
tranganh,1,1,8,-1,1270,15
tranganh,1,9,3,1,440,15
tranganh,1,4,11,-1,381,15
tranganh,1,10,5,1,360,15
tranganh,1,4,9,-1,780,15
tranganh,1,0,3,1,1661,15
tranganh,1,7,2,1,1180,15
tranganh,1,1,7,-1,411,15
tranganh,1,8,1,1,350,15
tranganh,1,7,2,1,490,15
tranganh,1,5,11,1,891,15
tranganh,1,0,6,-1,330,15
tranganh,1,6,11,1,1821,15
tranganh,1,7,0,1,341,15
tranganh,1,5,10,1,381,15
tranganh,1,2,8,-1,330,15
tranganh,1,3,2,-1,1411,15
tranganh,1,10,5,1,330,15
tranganh,1,9,3,1,1520,15
tranganh,1,9,5,1,490,15
tranganh,1,6,0,-1,190,15
tranganh,1,2,7,-1,361,15
tranganh,1,7,0,1,401,15
tranganh,1,0,6,-1,290,15
tranganh,1,1,6,-1,621,15
tranganh,1,7,4,1,330,15
tranganh,1,9,2,1,991,15
tranganh,1,4,9,-1,680,15
tranganh,1,7,0,1,321,15
tranganh,1,3,4,1,1001,15
tranganh,1,9,4,1,1300,15
tranganh,1,1,7,-1,381,15
tranganh,1,9,4,-1,1010,15
tranganh,1,11,4,1,930,15
tranganh,1,5,10,-1,1271,15
tranganh,1,6,11,-1,560,15
tranganh,1,2,9,-1,680,15
tranganh,1,11,4,1,421,15
tranganh,1,0,7,1,510,15
tranganh,1,9,4,-1,880,15
