subject,cond,note1,note2,resp,rt,niveau
Simon,1,1,8,1,2741,3
Simon,1,11,6,-1,801,3
Simon,1,0,6,1,2341,3
Simon,1,6,3,-1,1770,3
Simon,1,8,1,-1,1170,3
Simon,1,1,2,1,1300,3
Simon,1,5,0,-1,1962,3
Simon,1,11,4,1,1741,3
Simon,1,1,7,1,2571,3
Simon,1,1,6,1,2081,3
Simon,1,11,4,1,2950,3
Simon,1,2,9,1,1671,3
Simon,1,10,5,-1,360,3
Simon,1,11,9,-1,3150,3
Simon,1,11,4,1,2781,3
Simon,1,1,8,1,5471,3
Simon,1,10,5,-1,361,3
Simon,1,4,0,-1,550,3
Simon,1,8,1,-1,1150,3
Simon,1,4,9,1,1090,3
Simon,1,7,1,-1,1470,3
Simon,1,10,4,-1,1550,3
Simon,1,10,4,-1,430,3
Simon,1,3,10,1,4670,3
Simon,1,2,7,-1,1260,3
Simon,1,2,7,1,670,3
Simon,1,3,10,-1,2280,3
Simon,1,0,5,-1,1170,3
Simon,1,2,9,1,930,3
Simon,1,4,10,1,720,3
Simon,1,4,7,-1,970,3
Simon,1,10,5,-1,790,3
Simon,1,3,10,1,1020,3
Simon,1,0,6,-1,580,3
Simon,1,8,3,-1,1880,3
Simon,1,11,6,-1,1051,3
Simon,1,7,1,-1,980,3
Simon,1,4,10,1,911,3
Simon,1,0,6,1,6040,3
Simon,1,7,2,-1,481,3
Simon,1,8,1,-1,1291,3
Simon,1,2,9,1,1040,3
Simon,1,2,8,-1,810,3
Simon,1,2,7,-1,2081,3
Simon,1,10,3,-1,2640,3
Simon,1,7,0,-1,1781,3
Simon,1,6,1,-1,1430,3
Simon,1,10,3,-1,1081,3
Simon,1,0,3,1,1080,3
Simon,1,9,4,1,1881,3
Simon,1,10,5,1,901,3
Simon,1,10,5,1,741,3
Simon,1,6,11,1,2722,3
Simon,1,5,10,-1,1241,3
Simon,1,1,8,-1,1050,3
Simon,1,0,7,1,2167,3
Simon,1,7,2,1,9791,3
Simon,1,0,3,1,2260,3
Simon,1,8,1,-1,571,3
Simon,1,11,6,1,1791,3
Simon,1,2,9,1,390,3
Simon,1,4,11,1,190,3
Simon,1,8,3,-1,1541,3
Simon,1,8,3,-1,481,3
Simon,1,1,8,1,921,3
Simon,1,11,6,-1,3310,3
Simon,1,9,3,-1,1220,3
Simon,1,10,8,-1,2522,3
Simon,1,5,11,1,271,3
Simon,1,11,5,-1,2040,3
Simon,1,8,3,-1,1961,3
Simon,1,5,0,1,1491,3
Simon,1,5,10,-1,940,3
Simon,1,7,0,1,2250,3
Simon,1,0,5,-1,610,3
Simon,1,7,2,1,1310,3
Simon,1,5,9,-1,1241,3
Simon,1,11,5,-1,360,3
Simon,1,2,7,-1,3272,3
Simon,1,1,7,1,1541,3
Simon,1,9,4,-1,520,3
Simon,1,3,8,1,1760,3
Simon,1,3,9,1,1871,3
Simon,1,8,1,-1,1420,3
Simon,1,1,7,1,2081,3
Simon,1,4,9,1,3591,3
Simon,1,6,8,1,1890,3
Simon,1,3,9,1,1910,3
Simon,1,6,0,1,380,3
Simon,1,11,6,-1,111,3
Simon,1,7,1,1,1361,3
Simon,1,0,7,-1,1341,3
Simon,1,7,2,1,1100,3
Simon,1,5,10,-1,701,3
Simon,1,7,1,1,3101,3
Simon,1,2,9,-1,971,3
Simon,1,4,11,-1,3831,3
Simon,1,6,0,-1,1530,3
Simon,1,5,0,-1,620,3
Simon,1,1,6,1,1611,3
Simon,1,4,9,1,552,3
Simon,1,6,11,1,1070,3
Simon,1,10,5,-1,1431,3
Simon,1,8,3,-1,580,3
Simon,1,8,3,-1,1130,3
Simon,1,3,9,-1,710,3
Simon,1,4,9,1,461,3
Simon,1,9,4,-1,1780,3
Simon,1,2,8,1,1890,3
Simon,1,3,10,1,770,3
Simon,1,4,10,1,3130,3
Simon,1,11,7,-1,1680,3
Simon,1,5,0,1,5830,3
Simon,1,3,9,-1,1120,3
Simon,1,8,10,1,1590,3
Simon,1,8,2,1,1650,3
Simon,1,5,11,-1,1010,3
Simon,1,7,4,-1,1470,3
Simon,1,6,0,1,998,3
Simon,1,4,10,-1,2410,3
Simon,1,1,8,1,15521,3
Simon,1,0,5,-1,1730,3
Simon,1,11,4,-1,961,3
Simon,1,4,11,1,521,3
Simon,1,5,0,1,370,3
Simon,1,3,8,1,2381,3
Simon,1,0,5,-1,1281,3
Simon,1,10,4,-1,3050,3
Simon,1,6,0,-1,2181,3
Simon,1,5,11,1,1611,3
Simon,1,8,2,1,960,3
Simon,1,3,8,1,5610,3
Simon,1,11,4,-1,3191,3
Simon,1,0,5,-1,1591,3
