subject,cond,note1,note2,resp,rt,niveau
Charles,1,4,11,-1,1311,9
Charles,1,5,0,-1,2470,9
Charles,1,2,8,1,2890,9
Charles,1,1,7,-1,3810,9
Charles,1,4,11,1,2971,9
Charles,1,7,0,-1,2000,9
Charles,1,3,9,1,770,9
Charles,1,1,7,-1,3192,9
Charles,1,10,3,1,2530,9
Charles,1,7,6,-1,2050,9
Charles,1,9,1,-1,860,9
Charles,1,5,10,1,520,9
Charles,1,0,7,-1,663,9
Charles,1,10,5,-1,580,9
Charles,1,8,2,-1,601,9
Charles,1,3,10,1,530,9
Charles,1,11,6,-1,480,9
Charles,1,8,2,-1,550,9
Charles,1,2,9,1,400,9
Charles,1,5,10,1,651,9
Charles,1,8,3,-1,2690,9
Charles,1,4,9,1,700,9
Charles,1,8,3,-1,611,9
Charles,1,10,3,-1,760,9
Charles,1,0,5,1,2480,9
Charles,1,9,3,-1,430,9
Charles,1,3,8,1,790,9
Charles,1,6,1,-1,560,9
Charles,1,5,0,-1,440,9
Charles,1,2,8,1,750,9
Charles,1,11,6,-1,1021,9
Charles,1,7,2,-1,470,9
Charles,1,1,8,1,590,9
Charles,1,8,1,-1,670,9
Charles,1,0,6,1,811,9
Charles,1,6,1,-1,580,9
Charles,1,8,1,-1,390,9
Charles,1,10,4,-1,752,9
Charles,1,6,11,1,620,9
Charles,1,8,1,-1,2962,9
Charles,1,2,8,1,560,9
Charles,1,9,6,-1,620,9
Charles,1,4,11,1,381,9
Charles,1,11,6,-1,650,9
Charles,1,3,1,-1,630,9
Charles,1,10,3,-1,720,9
Charles,1,3,9,1,491,9
Charles,1,9,4,-1,321,9
Charles,1,1,6,1,520,9
Charles,1,3,8,1,730,9
Charles,1,4,10,1,1080,9
Charles,1,6,5,-1,450,9
Charles,1,8,1,1,1070,9
Charles,1,2,4,1,1974,9
Charles,1,7,2,-1,970,9
Charles,1,5,11,1,750,9
Charles,1,4,9,1,631,9
Charles,1,2,9,1,471,9
Charles,1,7,1,-1,890,9
Charles,1,7,2,-1,570,9
Charles,1,9,3,-1,1290,9
Charles,1,8,1,-1,510,9
Charles,1,9,4,-1,490,9
