subject,cond,note1,note2,resp,rt,niveau
Victor,1,9,0,1,6711,1
Victor,1,10,6,-1,611,1
Victor,1,11,4,1,2060,1
Victor,1,4,11,-1,1100,1
Victor,1,7,1,1,1811,1
Victor,1,1,6,-1,680,1
Victor,1,8,1,1,700,1
Victor,1,8,3,1,681,1
Victor,1,11,6,1,3290,1
Victor,1,7,0,1,991,1
Victor,1,1,7,1,750,1
Victor,1,4,9,1,721,1
Victor,1,6,0,1,1150,1
Victor,1,4,10,1,591,1
Victor,1,11,6,-1,640,1
Victor,1,9,2,1,651,1
Victor,1,6,8,1,890,1
Victor,1,4,11,1,530,1
Victor,1,2,1,-1,630,1
Victor,1,7,3,1,800,1
Victor,1,9,3,1,621,1
Victor,1,7,2,1,496,1
Victor,1,7,5,-1,580,1
Victor,1,0,6,-1,1090,1
Victor,1,10,3,1,620,1
Victor,1,8,1,1,900,1
Victor,1,7,1,1,451,1
Victor,1,2,6,-1,2812,1
Victor,1,5,10,1,460,1
Victor,1,4,11,1,611,1
Victor,1,11,6,-1,790,1
Victor,1,10,3,1,421,1
Victor,1,9,4,1,2890,1
Victor,1,10,4,1,2062,1
Victor,1,7,0,1,491,1
Victor,1,11,6,-1,670,1
Victor,1,8,3,1,621,1
Victor,1,1,8,-1,1381,1
Victor,1,1,7,-1,410,1
Victor,1,7,2,1,411,1
Victor,1,5,0,1,541,1
Victor,1,8,9,1,1571,1
Victor,1,0,7,-1,610,1
Victor,1,3,10,-1,801,1
Victor,1,11,6,-1,971,1
Victor,1,2,1,-1,2690,1
Victor,1,3,9,-1,3242,1
Victor,1,6,1,1,420,1
Victor,1,5,11,1,870,1
Victor,1,9,3,1,480,1
Victor,1,1,8,-1,670,1
Victor,1,7,1,1,4062,1
Victor,1,1,8,-1,5570,1
Victor,1,0,7,-1,331,1
Victor,1,10,3,1,1850,1
Victor,1,8,10,1,1110,1
Victor,1,0,5,-1,1450,1
Victor,1,2,9,-1,940,1
Victor,1,5,11,1,430,1
Victor,1,9,2,1,3331,1
Victor,1,8,1,1,1390,1
Victor,1,2,7,-1,672,1
Victor,1,11,5,-1,2151,1
Victor,1,1,6,-1,780,1
Victor,1,6,11,1,1220,1
Victor,1,9,4,1,491,1
Victor,1,2,9,-1,1830,1
Victor,1,9,2,1,1331,1
Victor,1,8,3,1,1440,1
Victor,1,5,3,-1,571,1
Victor,1,10,5,-1,4481,1
Victor,1,3,9,-1,2630,1
Victor,1,5,11,1,430,1
Victor,1,8,3,1,461,1
Victor,1,6,1,1,550,1
Victor,1,4,9,1,1331,1
Victor,1,0,5,-1,1180,1
Victor,1,2,7,1,1420,1
Victor,1,0,7,-1,571,1
Victor,1,2,8,-1,1230,1
Victor,1,11,6,-1,2140,1
Victor,1,0,6,-1,341,1
Victor,1,2,9,1,1090,1
Victor,1,9,4,1,3050,1
Victor,1,9,2,1,1410,1
Victor,1,8,1,1,3220,1
Victor,1,6,11,1,620,1
Victor,1,8,0,1,591,1
Victor,1,7,0,1,610,1
Victor,1,0,7,-1,391,1
Victor,1,7,1,1,1870,1
Victor,1,1,6,-1,380,1
Victor,1,3,10,-1,350,1
Victor,1,10,5,1,301,1
Victor,1,10,5,-1,2450,1
Victor,1,2,7,1,4741,1
Victor,1,0,7,-1,381,1
Victor,1,5,10,1,1311,1
Victor,1,0,6,-1,1271,1
Victor,1,3,8,-1,6571,1
Victor,1,5,10,1,651,1
Victor,1,3,10,-1,2451,1
Victor,1,5,11,1,771,1
Victor,1,5,11,1,741,1
Victor,1,0,7,-1,2651,1
Victor,1,1,8,-1,2500,1
Victor,1,0,9,-1,521,1
Victor,1,6,11,1,640,1
Victor,1,4,10,-1,2661,1
Victor,1,6,1,1,641,1
Victor,1,9,4,1,7161,1
Victor,1,11,4,1,710,1
Victor,1,5,0,1,621,1
Victor,1,1,6,1,409,1
Victor,1,8,1,1,620,1
Victor,1,6,0,1,400,1
Victor,1,2,8,1,901,1
Victor,1,7,2,1,391,1
Victor,1,8,2,1,371,1
Victor,1,6,0,1,230,1
Victor,1,4,9,1,441,1
Victor,1,2,7,1,640,1
Victor,1,6,0,1,370,1
Victor,1,10,3,1,321,1
Victor,1,9,3,1,230,1
Victor,1,9,4,1,90,1
Victor,1,6,1,1,230,1
Victor,1,11,6,-1,1551,1
Victor,1,5,10,1,420,1
Victor,1,5,0,1,1330,1
Victor,1,3,8,1,2241,1
Victor,1,5,10,1,361,1
Victor,1,8,2,1,311,1
Victor,1,4,11,1,381,1
Victor,1,11,4,1,400,1
Victor,1,6,11,1,301,1
Victor,1,3,8,1,381,1
Victor,1,5,8,1,360,1
Victor,1,3,9,1,321,1
Victor,1,5,10,1,481,1
Victor,1,8,2,1,361,1
Victor,1,6,1,1,470,1
Victor,1,0,5,1,570,1
Victor,1,7,0,1,411,1
Victor,1,5,0,1,330,1
Victor,1,1,9,-1,1301,1
Victor,1,6,1,1,250,1
Victor,1,0,6,-1,510,1
Victor,1,11,5,-1,370,1
Victor,1,3,10,1,741,1
Victor,1,3,10,-1,570,1
Victor,1,7,0,1,191,1
Victor,1,1,7,-1,690,1
Victor,1,11,4,1,580,1
Victor,1,11,4,1,631,1
Victor,1,2,9,1,820,1
Victor,1,3,7,-1,640,1
Victor,1,11,5,-1,941,1
Victor,1,3,10,1,640,1
Victor,1,10,3,1,641,1
Victor,1,4,10,-1,1620,1
Victor,1,4,10,-1,220,1
