subject,cond,note1,note2,resp,rt,niveau
juju,1,2,7,1,1949,5
juju,1,3,6,1,692,5
juju,1,10,5,-1,5816,5
juju,1,0,6,1,964,5
juju,1,3,9,1,1757,5
juju,1,8,3,-1,528,5
juju,1,5,10,1,1748,5
juju,1,4,9,1,2172,5
juju,1,11,4,-1,529,5
juju,1,4,10,1,629,5
juju,1,9,3,-1,924,5
juju,1,1,8,1,1137,5
juju,1,0,6,1,385,5
juju,1,4,10,-1,487,5
juju,1,7,9,1,1747,5
juju,1,3,8,1,1159,5
juju,1,5,11,1,1830,5
juju,1,0,5,1,2204,5
juju,1,4,10,-1,996,5
juju,1,2,8,1,1402,5
juju,1,11,8,-1,1463,5
juju,1,5,0,-1,1675,5
juju,1,9,3,1,1168,5
juju,1,3,8,1,1747,5
juju,1,6,1,1,4839,5
juju,1,4,9,-1,1229,5
juju,1,6,0,-1,1412,5
juju,1,7,2,-1,1158,5
juju,1,1,8,-1,488,5
juju,1,11,6,-1,9578,5
juju,1,5,0,-1,2526,5
juju,1,5,9,1,2631,5
juju,1,7,0,-1,1036,5
juju,1,3,9,1,2010,5
juju,1,4,9,1,609,5
juju,1,6,1,-1,355,5
juju,1,4,9,1,467,5
juju,1,3,10,1,2201,5
juju,1,11,6,-1,265,5
juju,1,8,3,-1,751,5
juju,1,4,11,-1,336,5
juju,1,8,1,1,689,5
juju,1,6,1,-1,1216,5
juju,1,9,4,1,1330,5
juju,1,2,9,-1,1317,5
juju,1,9,3,1,620,5
juju,1,0,5,1,488,5
juju,1,5,11,-1,172,5
juju,1,6,11,-1,689,5
juju,1,11,5,1,1705,5
juju,1,5,0,-1,1178,5
juju,1,4,3,-1,428,5
juju,1,1,6,1,801,5
juju,1,9,2,1,600,5
juju,1,9,3,1,214,5
juju,1,2,1,-1,132,5
juju,1,5,2,-1,202,5
juju,1,4,11,-1,579,5
juju,1,11,0,1,317,5
juju,1,0,5,1,144,5
juju,1,3,10,-1,428,5
juju,1,0,6,1,367,5
juju,1,10,5,1,539,5
juju,1,8,3,1,1247,5
juju,1,11,4,1,426,5
juju,1,9,2,1,152,5
juju,1,2,7,-1,6449,5
juju,1,10,5,1,1078,5
juju,1,8,2,-1,1066,5
juju,1,9,4,1,589,5
juju,1,8,9,1,406,5
juju,1,2,7,1,589,5
juju,1,7,2,-1,174,5
juju,1,8,1,-1,9990,5
juju,1,5,10,1,3683,5
juju,1,9,3,-1,631,5
juju,1,4,9,1,468,5
juju,1,8,11,1,497,5
juju,1,10,5,-1,283,5
juju,1,2,8,1,283,5
juju,1,1,6,1,802,5
juju,1,5,10,-1,456,5
juju,1,2,7,1,568,5
juju,1,8,2,-1,529,5
juju,1,1,7,1,945,5
juju,1,10,3,1,244,5
juju,1,9,6,-1,568,5
juju,1,10,5,1,82,5
juju,1,11,4,1,618,5
juju,1,3,10,-1,263,5
juju,1,8,2,1,662,5
juju,1,11,4,1,254,5
juju,1,6,11,-1,578,5
juju,1,7,0,-1,832,5
juju,1,5,10,-1,883,5
juju,1,7,0,-1,792,5
juju,1,1,6,1,264,5
juju,1,9,0,1,356,5
juju,1,9,4,1,193,5
juju,1,0,5,1,83,5
juju,1,2,9,-1,469,5
juju,1,11,4,1,489,5
juju,1,9,4,1,305,5
juju,1,7,1,-1,700,5
juju,1,4,11,-1,274,5
juju,1,3,10,-1,223,5
juju,1,10,4,1,458,5
juju,1,6,1,-1,590,5
juju,1,8,3,1,376,5
juju,1,4,11,-1,1412,5
juju,1,9,4,1,314,5
juju,1,0,7,1,194,5
juju,1,11,6,1,214,5
juju,1,5,0,1,122,5
juju,1,10,3,1,102,5
juju,1,10,3,1,112,5
juju,1,6,11,-1,101,5
juju,1,6,0,-1,142,5
juju,1,3,9,-1,193,5
juju,1,6,1,-1,264,5
juju,1,2,4,1,275,5
juju,1,1,7,1,1155,5
juju,1,6,0,-1,436,5
juju,1,7,1,-1,325,5
juju,1,6,11,-1,274,5
juju,1,4,9,-1,274,5
juju,1,6,11,-1,214,5
juju,1,5,0,-1,183,5
juju,1,3,8,-1,51,5
juju,1,4,6,1,336,5
juju,1,2,9,-1,680,5
juju,1,5,11,-1,122,5
juju,1,5,9,-1,244,5
juju,1,9,4,1,71,5
juju,1,8,3,1,93,5
juju,1,3,8,-1,92,5
juju,1,11,5,1,152,5
juju,1,11,4,1,133,5
juju,1,4,11,-1,21,5
juju,1,1,6,1,163,5
juju,1,3,8,1,244,5
juju,1,7,2,-1,22,5
juju,1,7,1,-1,21,5
juju,1,4,11,1,304,5
juju,1,2,8,-1,1368,5
juju,1,3,9,-1,133,5
juju,1,4,0,-1,284,5
juju,1,7,2,-1,385,5
juju,1,11,7,-1,609,5
juju,1,1,8,-1,246,5
juju,1,0,7,1,489,5
juju,1,8,3,-1,702,5
juju,1,7,0,-1,194,5
juju,1,1,6,1,62,5
juju,1,0,10,-1,376,5
juju,1,1,7,1,204,5
juju,1,0,6,1,619,5
juju,1,4,11,-1,385,5
juju,1,3,10,-1,529,5
juju,1,1,6,1,215,5
juju,1,3,8,1,61,5
juju,1,5,0,-1,435,5
juju,1,3,8,-1,232,5
juju,1,0,7,1,1076,5
juju,1,7,2,-1,4569,5
juju,1,1,8,1,2854,5
juju,1,2,7,1,949,5
juju,1,2,8,1,1303,5
juju,1,8,2,-1,547,5
juju,1,10,5,1,303,5
juju,1,1,6,1,152,5
juju,1,0,7,1,30,5
juju,1,6,11,-1,31,5
juju,1,9,2,-1,92,5
juju,1,10,3,1,254,5
juju,1,0,7,1,1009,5
juju,1,0,7,1,263,5
juju,1,10,6,1,553,5
juju,1,10,3,1,312,5
juju,1,2,9,-1,20,5
juju,1,5,10,-1,21,5
juju,1,9,2,1,383,5
juju,1,1,8,-1,435,5
juju,1,8,2,1,171,5
juju,1,5,10,-1,182,5
juju,1,10,4,1,101,5
juju,1,3,9,-1,304,5
juju,1,5,0,-1,746,5
juju,1,0,5,1,323,5
juju,1,11,6,-1,2849,5
juju,1,0,10,-1,626,5
juju,1,11,6,1,352,5
