subject,cond,note1,note2,resp,rt,niveau
clementine,1,7,2,-1,3521,12
clementine,1,9,5,1,970,12
clementine,1,1,6,1,1937,12
clementine,1,7,0,-1,1740,12
clementine,1,5,4,-1,1412,12
clementine,1,9,4,-1,1250,12
clementine,1,4,9,1,870,12
clementine,1,1,7,1,1721,12
clementine,1,2,7,1,1260,12
clementine,1,11,6,-1,561,12
clementine,1,5,11,1,650,12
clementine,1,4,2,-1,681,12
clementine,1,5,0,-1,520,12
clementine,1,8,2,-1,1573,12
clementine,1,11,10,-1,710,12
clementine,1,11,4,1,602,12
clementine,1,0,6,1,660,12
clementine,1,4,9,1,565,12
clementine,1,7,10,1,610,12
clementine,1,7,1,1,940,12
clementine,1,11,5,1,510,12
clementine,1,6,0,-1,810,12
clementine,1,3,9,-1,440,12
clementine,1,0,5,1,1973,12
clementine,1,10,3,1,882,12
clementine,1,9,2,1,1700,12
clementine,1,8,1,1,761,12
clementine,1,8,1,1,510,12
clementine,1,9,2,1,820,12
clementine,1,1,6,1,661,12
clementine,1,11,6,1,670,12
clementine,1,5,0,-1,741,12
clementine,1,1,7,1,790,12
clementine,1,8,3,-1,480,12
clementine,1,5,10,1,1050,12
clementine,1,11,5,-1,1101,12
clementine,1,0,6,-1,1041,12
clementine,1,4,11,1,712,12
clementine,1,7,1,1,731,12
clementine,1,0,2,1,980,12
clementine,1,10,3,1,1191,12
clementine,1,2,8,1,2040,12
clementine,1,2,9,1,1000,12
clementine,1,4,9,1,790,12
clementine,1,6,11,1,980,12
clementine,1,2,9,-1,1791,12
clementine,1,3,9,-1,830,12
clementine,1,7,0,1,720,12
clementine,1,0,7,-1,450,12
clementine,1,7,0,1,491,12
clementine,1,5,11,-1,541,12
clementine,1,4,9,-1,991,12
clementine,1,5,10,-1,540,12
clementine,1,8,3,1,460,12
clementine,1,2,9,-1,770,12
clementine,1,9,3,1,470,12
clementine,1,7,0,1,821,12
clementine,1,3,6,1,480,12
clementine,1,3,8,1,424,12
clementine,1,5,8,1,760,12
clementine,1,4,11,1,480,12
clementine,1,4,11,1,1442,12
clementine,1,1,7,-1,1320,12
clementine,1,5,11,1,2494,12
clementine,1,9,4,1,2221,12
clementine,1,11,5,1,2030,12
clementine,1,5,0,-1,1420,12
clementine,1,5,10,-1,710,12
clementine,1,7,2,1,791,12
clementine,1,11,4,1,710,12
clementine,1,7,2,-1,910,12
clementine,1,0,5,1,541,12
clementine,1,1,0,-1,750,12
clementine,1,1,8,1,910,12
clementine,1,9,3,-1,350,12
clementine,1,4,2,-1,511,12
clementine,1,9,2,-1,1541,12
clementine,1,4,9,1,721,12
clementine,1,6,1,-1,1330,12
clementine,1,6,1,-1,591,12
clementine,1,7,1,-1,771,12
clementine,1,5,0,-1,810,12
clementine,1,2,7,1,851,12
clementine,1,1,7,1,652,12
clementine,1,4,9,1,670,12
clementine,1,7,0,1,771,12
clementine,1,1,6,1,1171,12
clementine,1,7,1,-1,1920,12
clementine,1,6,11,1,2301,12
clementine,1,5,9,1,1572,12
clementine,1,11,4,1,991,12
clementine,1,6,1,-1,1830,12
clementine,1,0,5,1,751,12
clementine,1,0,7,1,772,12
clementine,1,0,7,1,370,12
clementine,1,8,1,-1,530,12
clementine,1,2,9,1,840,12
clementine,1,11,4,-1,391,12
clementine,1,11,6,-1,1677,12
clementine,1,5,10,1,1051,12
clementine,1,6,1,1,3116,12
clementine,1,1,8,1,1060,12
clementine,1,8,2,-1,1001,12
clementine,1,1,9,1,941,12
clementine,1,10,4,-1,381,12
clementine,1,1,6,1,400,12
clementine,1,1,8,1,380,12
clementine,1,10,5,-1,430,12
clementine,1,9,4,-1,342,12
clementine,1,9,3,-1,450,12
clementine,1,4,10,1,1261,12
clementine,1,4,5,1,1330,12
clementine,1,1,10,-1,720,12
clementine,1,11,6,1,680,12
clementine,1,9,4,-1,1382,12
clementine,1,6,11,1,2641,12
clementine,1,4,9,1,1581,12
clementine,1,11,5,-1,1973,12
clementine,1,10,4,-1,911,12
clementine,1,4,11,1,740,12
clementine,1,2,8,1,1390,12
clementine,1,5,11,1,1591,12
clementine,1,4,10,1,2343,12
clementine,1,4,11,1,800,12
clementine,1,3,8,1,870,12
clementine,1,7,2,-1,510,12
clementine,1,5,10,1,822,12
clementine,1,1,6,1,1330,12
clementine,1,11,4,1,3247,12
clementine,1,10,3,-1,760,12
clementine,1,2,9,1,561,12
clementine,1,4,11,1,620,12
clementine,1,9,2,-1,860,12
clementine,1,5,7,1,1821,12
clementine,1,1,8,1,1150,12
clementine,1,11,4,-1,1072,12
clementine,1,8,2,-1,491,12
clementine,1,3,10,1,581,12
clementine,1,6,11,1,670,12
clementine,1,6,1,1,2461,12
clementine,1,9,6,-1,1443,12
clementine,1,0,5,1,1892,12
clementine,1,3,9,1,861,12
clementine,1,1,8,1,1570,12
clementine,1,5,10,1,1095,12
clementine,1,10,3,-1,746,12
clementine,1,1,7,1,871,12
clementine,1,9,4,-1,551,12
clementine,1,0,5,1,907,12
clementine,1,7,2,-1,400,12
clementine,1,7,0,-1,497,12
clementine,1,2,9,-1,420,12
clementine,1,4,11,-1,304,12
clementine,1,0,7,1,580,12
clementine,1,5,0,1,653,12
clementine,1,5,10,1,545,12
clementine,1,2,7,1,670,12
clementine,1,1,6,1,450,12
clementine,1,0,5,1,362,12
clementine,1,5,0,-1,360,12
clementine,1,0,1,1,599,12
clementine,1,5,2,-1,1060,12
clementine,1,11,5,1,577,12
clementine,1,8,1,-1,1025,12
clementine,1,3,9,1,550,12
clementine,1,2,7,1,690,12
clementine,1,0,4,1,410,12
